InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,SalesAmount,InvoiceMonth,IsReturn
580816,21378,SMALL TALL CAMPHOR WOOD TOADSTOOL,12,2011-12-06 11:28:00,0.39,15157.0,United Kingdom,4.68,2011-12,False
556129,23190,BUNDLE OF 3 SCHOOL EXERCISE BOOKS,48,2011-06-09 10:46:00,1.45,14060.0,United Kingdom,69.6,2011-06,False
561614,85099B,JUMBO BAG RED RETROSPOT,10,2011-07-28 12:50:00,2.08,13871.0,United Kingdom,20.8,2011-07,False
577358,23241,TREASURE TIN GYMKHANA DESIGN,3,2011-11-18 15:59:00,4.13,,United Kingdom,12.39,2011-11,False
561515,15058B,PINK POLKADOT GARDEN PARASOL,1,2011-07-27 15:16:00,10.79,,United Kingdom,10.79,2011-07,False
559506,22358,KINGS CHOICE TEA CADDY,1,2011-07-08 15:17:00,2.46,,United Kingdom,2.46,2011-07,False
570646,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,6,2011-10-11 12:49:00,7.95,12824.0,United Kingdom,47.7,2011-10,False
563038,84508A,CAMOUFLAGE DESIGN TEDDY,240,2011-08-11 15:05:00,2.1,16656.0,United Kingdom,504.0,2011-08,False
580677,22887,NUMBER TILE VINTAGE FONT 8,1,2011-12-05 14:40:00,1.95,16200.0,United Kingdom,1.95,2011-12,False
C574026,51014C,"FEATHER PEN,COAL BLACK",-1,2011-11-02 12:26:00,0.39,14606.0,United Kingdom,-0.39,2011-11,True
546778,47590A,BLUE HAPPY BIRTHDAY BUNTING,1,2011-03-16 16:38:00,5.45,14572.0,United Kingdom,5.45,2011-03,False
560145,23014,GLASS APOTHECARY BOTTLE ELIXIR,4,2011-07-15 11:04:00,3.95,13381.0,United Kingdom,15.8,2011-07,False
538149,21192,WHITE BELL HONEYCOMB PAPER,2,2010-12-09 16:27:00,3.36,,United Kingdom,6.72,2010-12,False
557016,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,2,2011-06-16 12:29:00,2.89,16942.0,United Kingdom,5.78,2011-06,False
552255,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2011-05-08 10:33:00,0.55,14005.0,United Kingdom,13.200000000000001,2011-05,False
578027,22626,BLACK KITCHEN SCALES,2,2011-11-22 13:29:00,8.5,15977.0,United Kingdom,17.0,2011-11,False
555925,72351A,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,2,2011-06-07 17:13:00,4.13,,United Kingdom,8.26,2011-06,False
573023,85032B,BLOSSOM IMAGES GIFT WRAP SET,12,2011-10-27 12:53:00,0.65,13882.0,United Kingdom,7.800000000000001,2011-10,False
